Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
 Fine Organic Industries Ltd.,Chemicals - speciality,5230.8,5.01%,5.01% (Aug 2022),3.16% (Sep 2021)
 Galaxy Surfactants Ltd.,Chemicals - speciality,5200.6,4.98%,5.3% (Sep 2021),4.34% (Mar 2022)
 Narayana Hrudayalaya Ltd.,Hospital,4137.1,3.96%,4.12% (Apr 2022),3.41% (Sep 2021)
Brigade Enterprises Ltd.,Residential/commercial/sez project,4066.9,3.90%,4.75% (Nov 2021),3.79% (Apr 2022)
 Birlasoft Ltd.,Computers - software,3646.5,3.49%,4.71% (Dec 2021),2.66% (Sep 2021)
 CCL Products (India) Ltd.,Tea & coffee,3472.6,3.33%,3.69% (Jan 2022),2.85% (May 2022)
 Krishna Institute of Medical Sciences Ltd.,Hospital,2908.6,2.79%,3.3% (Dec 2021),2.53% (Oct 2021)
 Blue Star Ltd.,Air conditioner,2770.6,2.65%,2.65% (Aug 2022),1.72% (Jan 2022)
 City Union Bank Ltd.,Banks,2721.9,2.61%,2.61% (Aug 2022),1.02% (Mar 2022)
 Orient Refractories Ltd.,Castings/forgings,2454.9,2.35%,2.83% (Mar 2022),1.84% (Nov 2021)
 Grindwell Norton Ltd.,Abrasives,2426.1,2.32%,2.55% (Dec 2021),1.95% (Jul 2022)
 J K Lakshmi Cement Ltd.,Cement,2275.9,2.18%,3.62% (Sep 2021),2.07% (Jun 2022)
 Can Fin Homes Ltd.,Housing finance,2210.4,2.12%,2.53% (Sep 2021),1.53% (Jun 2022)
 Mahindra CIE Automotive Ltd.,Castings/forgings,1924.4,1.84%,1.92% (Jul 2022),0.99% (Mar 2022)
 Chemplast Sanmar Ltd.,Chemicals - organic,1784.9,1.71%,3.01% (Sep 2021),1.71% (Aug 2022)
 Ahluwalia Contracts (India) Ltd.,Construction civil,1717.7,1.65%,2.2% (Apr 2022),1.65% (Aug 2022)
 Persistent Systems Ltd.,Computers - software,1692.6,1.62%,2.15% (Dec 2021),1.33% (Jul 2022)
 Rolex Rings Private Ltd.,Auto ancillaries,1578,1.51%,1.62% (Jul 2022),1.1% (Nov 2021)
 Neogen Chemicals Ltd.,Chemicals - speciality,1529.7,1.47%,2.06% (Dec 2021),0.24% (Jul 2022)
 Coforge Ltd.,Computers - software,1386.4,1.33%,2.79% (Sep 2021),1.33% (Aug 2022)
 MTAR Technologies Ltd.,Defense,1360.3,1.30%,1.59% (Mar 2022),0.71% (Sep 2021)
 Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals - inorganic,1208.2,1.16%,1.16% (Aug 2022),0% (Sep 2021)
 Orient Electric Ltd.,Home appliances,1173.7,1.12%,2.24% (Nov 2021),1.12% (Aug 2022)
 J.K. Cement Ltd.,Cement,1163.7,1.12%,2.05% (Oct 2021),1.01% (Jun 2022)
 Sudarshan Chemical Industries Ltd.,Dyes and pigments,1121.4,1.07%,1.6% (Sep 2021),0.97% (May 2022)
 PNC Infratech Ltd.,Construction civil,1083.7,1.04%,2.84% (Sep 2021),0.99% (Jul 2022)
 Sundaram Finance Limited,Nbfc,1015.3,0.97%,0.97% (Aug 2022),0% (Sep 2021)
 KNR Constructions,Construction civil,1010.2,0.97%,1.52% (Sep 2021),0.97% (Aug 2022)
 KPIT Technologies Ltd.,Computers - software,1002.3,0.96%,2% (Jan 2022),0.96% (Aug 2022)
 Vesuvius India Ltd.,Refractories,993.9,0.95%,1.16% (Sep 2021),0.76% (Apr 2022)
 Tata Elxsi Ltd.,Computers - software,991.7,0.95%,5.59% (Sep 2021),0.95% (Aug 2022)
 TCNS Clothing Company Ltd.,Fabrics and garments,945.2,0.91%,1.67% (Nov 2021),0.91% (Aug 2022)
 Heidelberg Cement India Ltd.,Cement,930,0.89%,1.04% (Sep 2021),0.6% (May 2022)
 Mas Financial Services Ltd.,Nbfc,914.8,0.88%,1.3% (Sep 2021),0.67% (Jul 2022)
 J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,865.8,0.83%,0.83% (Aug 2022),0% (Sep 2021)
 Minda Industries Ltd.,Auto ancillaries,850.7,0.82%,0.87% (Dec 2021),0.6% (Mar 2022)
 Alicon Castalloy Ltd.,Castings/forgings,805.2,0.77%,1.07% (Oct 2021),0.72% (Jun 2022)
 SRF Ltd.,Chemicals - speciality,795.3,0.76%,1.15% (Sep 2021),0.76% (Aug 2022)
 Ipca Laboratories Ltd.,Pharmaceuticals,768.4,0.74%,0.87% (Jul 2022),0.53% (Mar 2022)
 Navin Flourine International Ltd.,Chemicals - inorganic,742.2,0.71%,0.85% (Dec 2021),0.71% (Aug 2022)
 Go Fashion (India) Ltd.,Speciality retail,732.9,0.70%,0.7% (Aug 2022),0% (Sep 2021)
 Data Patterns India Ltd.,Defense,708.1,0.68%,0.68% (Aug 2022),0% (Sep 2021)
#NAME?,Chemicals - speciality,682.8,0.65%,1.43% (Oct 2021),0.64% (Jun 2022)
 Sansera Engineering Ltd.,Auto ancillaries,668.4,0.64%,0.73% (Sep 2021),0.5% (Mar 2022)
 S.J.S. Enterprises Ltd.,Auto ancillaries,664.1,0.64%,0.78% (Nov 2021),0% (Sep 2021)
 Mindtree Ltd.,Computers - software,632.2,0.61%,1.17% (Oct 2021),0.61% (Aug 2022)
 Phoenix Mills Ltd.,Residential/commercial/sez project,590.6,0.57%,0.57% (Aug 2022),0% (Sep 2021)
 Cholamandalam Investment & Finance Co. Ltd.,Nbfc,583.4,0.56%,0.56% (Aug 2022),0% (Sep 2021)
 Vst Industries Ltd.,Cigarettes,558.4,0.54%,0.8% (Sep 2021),0.54% (Aug 2022)
 Cholamandalam Financial Holdings Ltd.,Other financial services,536,0.51%,0.67% (Oct 2021),0.48% (Mar 2022)
 Jamna Auto Inds. Ltd.,Auto ancillaries,483.6,0.46%,0.56% (Jun 2022),0.21% (Sep 2021)
 JM Financial Ltd.,Stockbroking and allied,470.4,0.45%,0.93% (Sep 2021),0.45% (Aug 2022)
 Vijaya Diagnostic Centre Ltd.,Healthcare service providers,384.4,0.37%,0.66% (Jan 2022),0.37% (Aug 2022)
 Multi Commodity Exchange Of India Ltd.,Other financial services,380.5,0.36%,0.68% (Oct 2021),0.36% (Aug 2022)
 Container Corporation Of India Ltd.,Logistics solution provider,361,0.35%,0.46% (Sep 2021),0.32% (Feb 2022)
 Balrampur Chini Mills Ltd.,Sugar,358.5,0.34%,0.53% (Mar 2022),0.34% (Aug 2022)
 EPL Ltd.,Packaging,300.3,0.29%,0.58% (Sep 2021),0.29% (Jun 2022)
 Minda Corporation Ltd.,Auto ancillaries,297.7,0.29%,0.35% (Apr 2022),0% (Sep 2021)
 Craftsman Automation Ltd.,Auto ancillaries,294,0.28%,0.32% (Jul 2022),0% (Sep 2021)
 Suryoday Small Finance Bank Ltd.,Banks,285.2,0.27%,0.68% (Oct 2021),0.24% (Jun 2022)
 Computer Age Management Services Pvt Ltd.,It enabled services,276.1,0.26%,0.59% (Sep 2021),0.26% (Aug 2022)
 Teamlease Services Ltd.,Diversified commercial services,275.7,0.26%,0.5% (Sep 2021),0.26% (Aug 2022)
 Mrs.Bectors Food Specialities Ltd.,Consumer food,273.9,0.26%,0.42% (Sep 2021),0.24% (Jun 2022)
 Rainbow Childrens Medicare Ltd.,Hospital,269.4,0.26%,0.26% (Aug 2022),0% (Sep 2021)
 Fortis Healthcare Ltd.,Hospital,254.9,0.24%,0.25% (Jul 2022),0% (Sep 2021)
 Neogen Chemicals Ltd.,Chemicals - speciality,254.8,0.24%,2.06% (Dec 2021),0.24% (Jul 2022)
 Aether Industries Ltd.,Chemicals - speciality,95.4,0.09%,0.1% (Jul 2022),0% (Sep 2021)
Motherson Sumi Wiring India Ltd.,Auto ancillaries,86.7,0.08%,0.08% (Aug 2022),0% (Sep 2021)
 Sona BLW Precision Forgings Ltd.,Auto ancillaries,70.4,0.07%,0.08% (Jun 2022),0% (Sep 2021)
K.P.R. Mill Ltd.,Fabrics and garments,61.1,0.06%,0.08% (Feb 2022),0% (Sep 2021)
Symphony Ltd.,Consumer elctronics,59.5,0.06%,0.63% (Sep 2021),0.06% (Jul 2022)
Bata India Ltd.,Leather and leather products,31,0.03%,0.03% (Aug 2022),0% (Sep 2021)
V-Guard Industries Ltd.,Industrial electronics,14,0.01%,0.01% (Jul 2022),0% (Sep 2021)
Suprajit Engineering Ltd.,Auto ancillaries,3.9,0.00%,0.01% (Mar 2022),0% (Sep 2021)
Igarashi Motors India Ltd.,Auto ancillaries,0,0.00%,0.32% (Sep 2021),0% (May 2022)
Rolex Rings Private Ltd.,Auto ancillaries,1618.9,3.91%,3.97% (Jun 2022),2.06% (Nov 2021)
 INOX Leisure Ltd.,Flim production, distribution & exhibition,1452.8,-0.79%,4.59% (Oct 2021)
 KEI Industries Ltd.,Cables - electricals,1448.1,3.50%,4.31% (Mar 2022),3.39% (Oct 2021)
 CCL Products (India) Ltd.,Tea & coffee,1369.2,3.31%,3.31% (Aug 2022),1.75% (Oct 2021)
 Mahindra Lifespace Developers Ltd.,Residential/commercial/sez project,1324.2,3.20%,5% (Mar 2022),3.18% (Dec 2021)
 V-Mart Retail Ltd.,Retailing,1313.3,3.17%,4.2% (Mar 2022),3.13% (Jul 2022)
 Cyient Ltd.,It enabled services – software,1238.1,2.99%,3.42% (Apr 2022),2.96% (Jan 2022)
 Jamna Auto Inds. Ltd.,Auto ancillaries,1096.5,2.65%,3.53% (Jun 2022),2.65% (Aug 2022)
 Mold-Tek Packaging Ltd.,Packaging,1077.7,2.60%,2.6% (Aug 2022),0% (Sep 2021)
 Multi Commodity Exchange Of India Ltd.,Other financial services,1076.6,2.60%,3.17% (May 2022),1.75% (Oct 2021)
 Blue Star Ltd.,Air conditioner,1008.3,2.44%,3.45% (Feb 2022),2.27% (Jul 2022)
 Birlasoft Ltd.,Computers - software,1002,2.42%,4.37% (Feb 2022),2.42% (Aug 2022)
 SBI Cards and Payment Services Ltd.,Nbfc,977.6,2.36%,2.54% (Jul 2022),0% (Sep 2021)
 PNC Infratech Ltd.,Construction civil,914.9,2.21%,2.36% (Sep 2021),1.51% (Dec 2021)
 J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,875.3,2.12%,2.18% (Jul 2022),1.77% (Oct 2021)
 VRL Logistic Ltd.,Logistics solution provider,845.8,2.04%,2.55% (May 2022),1.72% (Oct 2021)
 Dixon Technologies (India) Ltd.,Consumer elctronics,831.7,2.01%,3.2% (May 2022),0.58% (Apr 2022)
 Tarsons Products Ltd.,Medical equipment & supplies,789.7,1.91%,2.6% (Mar 2022),0% (Sep 2021)
 Gateway Rail Freight Ltd.,Logistics solution provider,779.5,1.88%,2.21% (May 2022),0% (Sep 2021)
 Cholamandalam Financial Holdings Ltd.,Other financial services,754.1,1.82%,2.4% (Sep 2021),1.78% (Jul 2022)
#NAME?,Residential/commercial/sez project,733,1.77%,3.05% (Oct 2021),1.52% (Apr 2022)
 Go Fashion (India) Ltd.,Speciality retail,712.3,1.72%,1.72% (Aug 2022),0% (Sep 2021)
 Barbeque-Nation Hospitality Ltd.,Consumer food,693,1.67%,2.04% (Apr 2022),0.89% (Sep 2021)
 Aster DM Healthcare Ltd.,Hospital,680.1,1.64%,1.77% (Jul 2022),1.27% (Dec 2021)
 Sudarshan Chemical Industries Ltd.,Dyes and pigments,679.4,1.64%,2.14% (Sep 2021),1.31% (May 2022)
 Arvind Fashions Ltd.,Industrial equipment,662.4,1.60%,1.79% (Jul 2022),0.9% (Aug 2022)
 Camlin Fine Sciences Ltd.,Chemicals - speciality,654,1.58%,2.79% (Sep 2021),1.49% (Jul 2022)
 Birla Corporation Ltd.,Cement,649.2,1.57%,2.26% (Feb 2022),1.57% (Aug 2022)
 Jyothy Laboratories Ltd.,Personal care,645.9,1.56%,1.65% (Sep 2021),1.36% (Dec 2021)
 Indoco Remedies Ltd.,Pharmaceuticals,635.6,1.54%,2.07% (Oct 2021),1.54% (Aug 2022)
 Cms Info Systems Ltd.,Diversified commercial services,605.8,1.46%,1.6% (Jul 2022),0% (Sep 2021)
 Orient Electric Ltd.,Home appliances,510.9,1.23%,1.52% (May 2022),0.94% (Mar 2022)
 Zensar Technologies Ltd.,Computers - software,492.6,1.19%,1.81% (May 2022),0% (Sep 2021)
 EPL Ltd.,Packaging,475.4,1.15%,1.5% (Sep 2021),0.63% (May 2022)
 Astec Lifesciences Ltd.,Pesticides and agrochemicals,431,1.04%,1.16% (Jun 2022),0.75% (Sep 2021)
 Minda Industries Ltd.,Auto ancillaries,423.4,1.02%,1.96% (Nov 2021),1.01% (Jul 2022)
 Tata Metaliks Ltd.,Pig iron,413.7,1.00%,1.25% (Jan 2022),0.66% (Jul 2022)
 Century Plyboards India Ltd.,Plywood boards,3881.1,4.64%,5.85% (Mar 2022),4.54% (Jun 2022)
 Carborundum Universal Ltd.,Abrasives,3533.2,4.23%,4.58% (Sep 2021),3.89% (Apr 2022)
 Sheela Foam Ltd.,Houseware,2872.3,3.44%,4.96% (Feb 2022),3.44% (Aug 2022)
 Galaxy Surfactants Ltd.,Chemicals - speciality,2852,3.41%,3.55% (Sep 2021),2.83% (Nov 2021)
 Ratnamani Metals & Tubes Ltd.,Steel products,2663.3,3.19%,3.31% (May 2022),2.53% (Jan 2022)
 Blue Dart Express Ltd.,Logistics solution provider,2178.6,2.61%,2.91% (Jun 2022),1.69% (Nov 2021)
 Blue Star Ltd.,Air conditioner,2177,2.61%,3.18% (Feb 2022),2.5% (Jul 2022)
 Cyient Ltd.,It enabled services – software,2102.9,2.52%,2.82% (Jan 2022),2.19% (Nov 2021)
 Schaeffler India Ltd.,Bearings,2023.3,2.42%,2.42% (Aug 2022),1.45% (Sep 2021)
 Supreme Industries Ltd.,Plastic products,1947.5,2.33%,3.2% (Oct 2021),2.33% (Aug 2022)
 Garware Technical Fibres Ltd.,Textiles,1894.5,2.27%,2.27% (Aug 2022),0.3% (Nov 2021)
 Solar Industries India Ltd.,Explosives,1824,2.18%,2.32% (Nov 2021),1.83% (Sep 2021)
 Somany Ceramics Ltd.,Sanitary ware,1782.3,2.13%,3.29% (Jan 2022),2.13% (Aug 2022)
 V-Guard Industries Ltd.,Industrial electronics,1758.3,2.10%,2.52% (May 2022),2.1% (Aug 2022)
 Persistent Systems Ltd.,Computers - software,1668.1,2.00%,3.44% (Dec 2021),2% (Aug 2022)
 Alembic Pharmaceuticals Ltd.,Pharmaceuticals,1657.4,1.98%,2.11% (Jul 2022),0% (Sep 2021)
 ICICI Bank Ltd.,Banks,1566.7,1.88%,1.88% (Aug 2022),1.43% (Sep 2021)
 Amber Enterprises India Ltd.,Air conditioner,1533,1.83%,3.41% (Feb 2022),1.83% (Aug 2022)
 Shyam Metalics and Energy Ltd.,Steel,1441.7,1.73%,2.2% (Mar 2022),1.69% (Oct 2021)
 Bharat Earth Movers Ltd.,Industrial equipment,1394.3,1.67%,1.67% (Aug 2022),1.19% (Jul 2022)
 Mahindra Lifespace Developers Ltd.,Residential/commercial/sez project,1355.3,1.62%,1.62% (Aug 2022),0.95% (Dec 2021)
 J.K. Cement Ltd.,Cement,1316.6,1.58%,1.93% (Oct 2021),1.38% (Jun 2022)
 Sansera Engineering Ltd.,Auto ancillaries,1280.6,1.53%,1.53% (Aug 2022),0.18% (Sep 2021)
 Orient Electric Ltd.,Home appliances,1269.9,1.52%,2.3% (Nov 2021),1.52% (Aug 2022)
 Nilkamal Ltd.,Plastic products,1245.2,1.49%,2.48% (Sep 2021),1.49% (Aug 2022)
 Rolex Rings Private Ltd.,Auto ancillaries,1231.4,1.47%,1.61% (Jul 2022),1.12% (Nov 2021)
 Great Eastern Shipping Co. Ltd.,Shipping,1175.5,1.41%,1.41% (Aug 2022),0.64% (Dec 2021)
 V.I.P. Industries Ltd,Plastic products - consumer,1130.1,1.35%,1.96% (Mar 2022),1.35% (Aug 2022)
Anonymous,Chemicals - speciality,1116.5,1.34%,2.13% (Sep 2021),1.34% (Aug 2022)
 Shoppers Stop Limited,Retailing,1075,1.29%,1.29% (Aug 2022),0.57% (Sep 2021)
 Pi Industries Ltd.,Pesticides and agrochemicals,1039.2,1.24%,1.24% (Aug 2022),0.81% (Nov 2021)
 Hawkins Cookers Ltd.,Consumer products,1034.9,1.24%,1.85% (Sep 2021),1.24% (Aug 2022)
 V-Mart Retail Ltd.,Retailing,1023.4,1.22%,1.22% (Aug 2022),0.73% (Feb 2022)
 Thermax Ltd.,Industrial equipment,1000.3,1.20%,1.27% (Jan 2022),0.92% (Oct 2021)
 Kajaria Ceramics Ltd.,Sanitary ware,954.1,1.14%,1.57% (Jan 2022),1.1% (Jun 2022)
 Techno Electric & Engineering Co. Ltd.,Engineering, designing,1.11%,-0.11%,
 VST Tillers Tractors Ltd.,Tractors,921.8,1.10%,1.6% (Sep 2021),1.1% (Aug 2022)
 APL Apollo Tubes Ltd.,Steel products,892.9,1.07%,1.47% (Dec 2021),1.07% (Aug 2022)
 Lux Industries Ltd.,Fabrics and garments,839.1,1.00%,2.51% (Nov 2021),1% (Aug 2022)
 Atul Ltd.,Chemicals - speciality,837.2,1.00%,1.04% (Jul 2022),0.82% (Apr 2022)
 Aavas Financiers Ltd.,Housing finance,835,1.00%,1.13% (Jul 2022),0.48% (Dec 2021)
 Go Fashion (India) Ltd.,Speciality retail,797,0.95%,0.96% (Jun 2022),0% (Sep 2021)
 Apollo Pipes Ltd.,Nbfc,795.6,0.95%,1.39% (Sep 2021),0.84% (Jun 2022)
 Dixon Technologies (India) Ltd.,Consumer elctronics,734.4,0.88%,1.46% (Dec 2021),0.85% (Jul 2022)
 Torrent Pharmaceuticals Ltd.,Pharmaceuticals,719.1,0.86%,0.86% (Aug 2022),0.39% (Oct 2021)
 Prataap Snacks Ltd.,Consumer food,706.6,0.85%,1.1% (Dec 2021),0.78% (Jun 2022)
 Coromandel International Ltd.,Fertilisers-phosphatic,688.6,0.82%,0.88% (Jun 2022),0.58% (Oct 2021)
Anonymous,Banks,677.6,0.81%,0.98% (Jan 2022),0.77% (Nov 2021)
 Shriram City Union Finance Ltd.,Nbfc,548.2,0.66%,1.01% (Oct 2021),0.65% (Mar 2022)
 Dhanuka Agritech Ltd.,Pesticides and agrochemicals,516.7,0.62%,0.97% (Sep 2021),0.62% (Aug 2022)
 Whirlpool Of India Ltd.,Home appliances,497.2,0.60%,0.62% (May 2022),0% (Sep 2021)
 JMC Projects (India) Ltd.,Construction civil,492.4,0.59%,0.96% (Sep 2021),0.54% (Jul 2022)
 Sandhar Technologies Ltd.,Auto ancillaries,429.2,0.51%,0.89% (Sep 2021),0.51% (Aug 2022)
 Mahindra & Mahindra Financial Services Ltd.,Nbfc,410.6,0.49%,0.49% (Aug 2022),0.26% (Mar 2022)
 WPIL Ltd.,Compressors / pumps,409.3,0.49%,0.51% (May 2022),0.38% (Mar 2022)
 The Ramco Cements Ltd.,Cement,404.3,0.48%,0.92% (Oct 2021),0.48% (Aug 2022)
