Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
 Cms Info Systems Ltd.,Diversified commercial services,2155.3,1.53%,1.9% (Mar 2022),0% (Sep 2021)
 Hawkins Cookers Ltd.,Consumer products,2152.7,1.53%,2.25% (Sep 2021),1.53% (Aug 2022)
PVR Ltd.,Flim production,2150.6,1.53%,,1.53% (Aug 2022)
 KNR Constructions,Construction civil,2014.5,1.43%,2.18% (Feb 2022),1.43% (Aug 2022)
 Vst Industries Ltd.,Cigarettes,2001.6,1.43%,1.85% (Sep 2021),1.43% (Aug 2022)
Rossari Biotech Ltd.,Chemicals - speciality,1985.6,1.41%,2.86% (Sep 2021),1.41% (Jul 2022)
 City Union Bank Ltd.,Banks,1979.5,1.41%,1.74% (Oct 2021),1.22% (Mar 2022)
 Ahluwalia Contracts (India) Ltd.,Construction civil,1966.1,1.40%,1.93% (Apr 2022),0.98% (Feb 2022)
 G R Infraprojects Ltd.,Construction civil,1905.8,1.36%,2.59% (Oct 2021),1.32% (Jun 2022)
 Dodla Dairy Ltd.,Dairy products,1881.2,1.34%,1.81% (Sep 2021),1.18% (Feb 2022)
 Go Fashion (India) Ltd.,Speciality retail,1864.9,1.33%,1.53% (Dec 2021),0% (Sep 2021)
 Relaxo Footwears Ltd.,Leather and leather products,1801,1.28%,2.25% (Oct 2021),1.28% (Aug 2022)
 Chemplast Sanmar Ltd.,Chemicals - organic,1614.6,1.15%,2.27% (Oct 2021),1.15% (Aug 2022)
Ratnamani Metals & Tubes Ltd.,Steel products,1581.2,1.13%,1.27% (Mar 2022),0.96% (Jan 2022)
Star Cement Ltd.,Cement products,1327.2,0.95%,1.5% (Sep 2021),0.95% (Jul 2022)
 CSB Bank Ltd.,Banks,1198.7,0.85%,1.71% (Sep 2021),0.85% (Aug 2022)
Nuvoco Vistas Corporation Ltd.,Cement,1188.8,0.85%,1.13% (Mar 2022),0% (Sep 2021)
 GE T&D India Ltd.,Power equipment,1136,0.81%,1.06% (Sep 2021),0.67% (Mar 2022)
 Brigade Enterprises Ltd.,Residential/commercial/sez project,1134.6,0.81%,0.85% (Jul 2022),0% (Sep 2021)
 Engineers India Ltd.,Engineering, designing,0.57%,-0.04%,
 Garware Technical Fibres Ltd.,Textiles,736.9,0.52%,0.69% (Sep 2021),0.52% (Mar 2022)
 Alembic Limited,Pharmaceuticals,734.5,0.52%,1.13% (Sep 2021),0.52% (Aug 2022)
 Thangamayil Jewellery Ltd.,Gems, jewellery and watches,643.8,-0.01%,0.73% (Nov 2021)
# Westlife Development Ltd.,Hotels/resorts,608.6,0.43%,0.43% (Aug 2022),0% (Sep 2021)
 Anand Rathi Wealth Services Ltd.,Other financial services,458.6,0.33%,0.39% (Jun 2022),0% (Sep 2021)
 Zydus Wellness Ltd.,Consumer products,302.3,0.22%,0.27% (Jun 2022),0% (Sep 2021)
Shreno Ltd.,Engineering,168.1,0.12%,0% (Sep 2022),0% (Sep 2022)
 Tube Investments Of India Ltd.,Auto ancillaries,7397.4,3.42%,3.42% (Aug 2022),2.66% (Sep 2021)
 CreditAccess Grameen Ltd.,Nbfc,4358.4,2.01%,2.51% (May 2022),0.91% (Nov 2021)
 Magma Fincorp Ltd.,Nbfc,4322.9,2.00%,2.18% (Apr 2022),1.33% (Sep 2021)
 KPIT Technologies Ltd.,Computers - software,4136.4,1.91%,3.15% (Dec 2021),1.74% (Oct 2021)
 HDFC Bank Ltd.,Banks,4012.5,1.85%,2.01% (May 2022),0% (Sep 2021)
 Bajaj Electricals Ltd.,Home appliances,3775.2,1.74%,2.31% (Sep 2021),1.62% (May 2022)
 Fine Organic Industries Ltd.,Chemicals - speciality,3742.1,1.73%,1.73% (Aug 2022),1.03% (Sep 2021)
 Tejas Networks Ltd.,Telecom - cables,3548.4,1.64%,1.64% (Sep 2021),1.25% (Jan 2022)
 NIIT Ltd,It education,3488.2,1.61%,3.28% (Mar 2022),1.61% (Oct 2021)
 Navin Flourine International Ltd.,Chemicals - inorganic,3365,1.55%,2.25% (Dec 2021),1.55% (Aug 2022)
 Bank Of Baroda,Banks,3277.2,1.51%,1.51% (Aug 2022),0.34% (Sep 2021)
 Balrampur Chini Mills Ltd.,Sugar,3256.6,1.50%,2.42% (Mar 2022),1.5% (Aug 2022)
 Timken India Ltd.,Bearings,3219.1,1.49%,1.56% (Jul 2022),1.03% (Sep 2021)
 Zydus Wellness Ltd.,Consumer products,3093.7,1.43%,1.54% (Jul 2022),0.76% (Mar 2022)
 State Bank Of India,Banks,2868.8,1.32%,1.4% (Jul 2022),0.71% (Dec 2021)
 Birla Corporation Ltd.,Cement,2830.9,1.31%,2.53% (Oct 2021),1.31% (Aug 2022)
 Carborundum Universal Ltd.,Abrasives,2755.7,1.27%,1.71% (Nov 2021),1.26% (May 2022)
 Affle India Ltd.,It enabled services – software,2753.3,1.27%,1.46% (Jan 2022),1.1% (Jul 2022)
 Axis Bank Ltd.,Banks,2630.3,1.21%,1.46% (Feb 2022),0.44% (Sep 2021)
 Honeywell Automation India Ltd.,Industrial electronics,2612.6,1.21%,1.39% (Jan 2022),1.04% (May 2022)
 K.P.R. Mill Ltd.,Fabrics and garments,2595.5,1.20%,1.54% (Feb 2022),1.07% (Sep 2021)
 Orient Electric Ltd.,Home appliances,2520.7,1.16%,2.15% (Nov 2021),1.16% (Aug 2022)
 Mahindra & Mahindra Ltd.,Passenger/utility vehicles,2486.5,1.15%,1.15% (Aug 2022),0% (Sep 2021)
 Dixon Technologies (India) Ltd.,Consumer elctronics,2462.2,1.14%,1.76% (Dec 2021),1.09% (Jul 2022)
 Central Depository Services (India) Ltd.,Capital markets,2453.9,1.13%,1.62% (Nov 2021),1.09% (Jul 2022)
 Hindustan Aeronautics Ltd.,Airlines,2433.9,1.12%,1.12% (Aug 2022),0.39% (Dec 2021)
 eClerx Services Ltd.,It enabled services – software,2424.4,1.12%,1.62% (Dec 2021),1.12% (Aug 2022)
Larsen & Toubro Ltd.,Engineering, designing,1.10%,0.00%,
 Deepak Nitrite Ltd.,Chemicals - speciality,2348.2,1.08%,4.11% (Sep 2021),1.08% (Aug 2022)
 Multi Commodity Exchange Of India Ltd.,Other financial services,2340.6,1.08%,1.25% (Jul 2022),0.55% (Dec 2021)
 Radico Khaitan Ltd.,Brew/distilleries,2333.4,1.08%,2.06% (Oct 2021),0.96% (May 2022)
 West Coast Paper Mills Ltd.,Paper and paper products,2314.8,1.07%,1.07% (Aug 2022),0.54% (Jan 2022)
 Kirloskar Pneumatic Co. Ltd.,Compressors / pumps,2284.6,1.06%,1.06% (Aug 2022),0.84% (Sep 2021)
 Bharat Electronics Ltd.,Industrial electronics,2276.1,1.05%,1.11% (Jul 2022),0% (Sep 2021)
 Cyient Ltd.,It enabled services – software,2175.9,1.00%,1.56% (Sep 2021),1% (Aug 2022)
 Vardhman Textiles Ltd.,Spinning-cotton/blended,2092.1,0.97%,0.97% (Aug 2022),0.44% (Sep 2021)
 Jyothy Laboratories Ltd.,Personal care,1904.7,0.88%,0.88% (Aug 2022),0.61% (Dec 2021)
 Century Textile & Industries Ltd.,Cement,1870.4,0.86%,0.86% (Aug 2022),0.57% (Oct 2021)
 Linde India Ltd.,Industrial gas,1799.5,0.83%,1.08% (Mar 2022),0.51% (Dec 2021)
 Persistent Systems Ltd.,Computers - software,1759,0.81%,1.64% (Dec 2021),0.81% (Aug 2022)
Elantas Beck India Ltd.,Chemicals - organic,1752.9,0.81%,0.86% (Oct 2021),0.71% (Mar 2022)
 Apar Industries Ltd.,Power equipment,1730.6,0.80%,0.8% (Aug 2022),0.44% (Mar 2022)
 Grindwell Norton Ltd.,Abrasives,1715.7,0.79%,0.79% (Aug 2022),0.39% (Sep 2021)
 HG Infra Engineering Ltd.,Engineering, designing,0.79%,-0.04%,
 Sterlite Technologies Ltd.,Telecom - cables,1705.5,0.79%,1.57% (Dec 2021),0.7% (Jul 2022)
 Karur Vysya Bank Ltd,Banks,1704.7,0.79%,0.79% (Aug 2022),0.28% (Dec 2021)
 Rallis India Ltd.,Pesticides and agrochemicals,1697.7,0.78%,1.03% (Sep 2021),0.78% (Aug 2022)
Ajanta Pharma Limited,Pharmaceuticals,1673.7,0.77%,0.77% (Aug 2022),0.15% (Apr 2022)
 Sapphire Foods India Ltd.,Restaurants,1653.4,0.76%,0.76% (Aug 2022),0% (Sep 2021)
 Procter & Gamble Health Ltd.,Pharmaceuticals,1652.1,0.76%,0.85% (Jul 2022),0.34% (Sep 2021)
 Mahindra CIE Automotive Ltd.,Castings/forgings,1645.5,0.76%,0.76% (Aug 2022),0.43% (Mar 2022)
 Bayer Cropscience Ltd.,Pesticides and agrochemicals,1643.7,0.76%,0.87% (May 2022),0.67% (Apr 2022)
 Finolex Cables Ltd.,Cables - electricals,1619.1,0.75%,0.76% (Nov 2021),0.49% (Mar 2022)
 Indian Hotels Company Limited,Hotels/resorts,1616.9,0.75%,0.75% (Aug 2022),0.15% (Nov 2021)
 Paradeep Phosphates Ltd.,Fertilizers,1589.5,0.73%,0.76% (Jul 2022),0% (Sep 2021)
 Voltamp Transformers Ltd.,Power equipment,1537.1,0.71%,0.95% (Jul 2022),0.48% (Oct 2021)
 Raymond Ltd.,Fabrics and garments,1536.6,0.71%,0.84% (May 2022),0.42% (Sep 2021)
 SIS Ltd.,Diversified commercial services,1518.8,0.70%,0.86% (Sep 2021),0.66% (Jul 2022)
 Fineotex Chemical Ltd.,Chemicals - speciality,1426.7,0.66%,0.66% (Aug 2022),0.41% (Nov 2021)
 Kirloskar Brothers Ltd.,Compressors / pumps,1423.8,0.66%,0.98% (Oct 2021),0.61% (May 2022)
 Polyplex Corporation Ltd.,Packaging,1417,0.65%,1.26% (Apr 2022),0.65% (Aug 2022)
 RITES Ltd.,Engineering, designing,0.64%,0.04%,
 Vindhya Telelinks Ltd.,Telecom - cables,1370.1,0.63%,0.68% (Oct 2021),0.51% (May 2022)
 Automotive Axles Ltd.,Auto ancillaries,1338.6,0.62%,0.66% (Jul 2022),0.5% (Sep 2021)
 Tata Consumer Products Ltd.,Tea & coffee,1335.9,0.62%,1.08% (Apr 2022),0.62% (Aug 2022)
 Pfizer Ltd.,Pharmaceuticals,1325.4,0.61%,0.72% (May 2022),0% (Sep 2021)
 Zomato Ltd.,E-retail/ e-commerce,1316.8,0.61%,0.61% (Aug 2022),0% (Sep 2021)
 Tata Steel Long Products Ltd.,Sponge iron,1309.1,0.60%,1.1% (Sep 2021),0.6% (Aug 2022)
Ion Exchange (India) Ltd.,Engineering,1304.6,0.60%,0.83% (Sep 2021),0.54% (Apr 2022)
 Gokaldas Exports Ltd.,Fabrics and garments,1248.7,0.58%,0.82% (May 2022),0% (Sep 2021)
 Honda Siel Power Products Ltd.,Power equipment,1247.4,0.58%,0.7% (May 2022),0.55% (Mar 2022)
 TD Power Systems Ltd.,Power equipment,1235.7,0.57%,0.58% (Jul 2022),0.35% (Apr 2022)
 Chambal Fertilizers & Chemicals Ltd.,Fertilisers-composite,1155.8,0.53%,1.04% (Apr 2022),0.48% (Jun 2022)
 Godrej Agrovet Ltd.,Consumer food,1149,0.53%,0.63% (May 2022),0% (Sep 2021)
 Lux Industries Ltd.,Fabrics and garments,1135.9,0.52%,1.1% (Nov 2021),0.49% (Jun 2022)
 Asahi India Glass Ltd.,Auto ancillaries,1126.4,0.52%,0.52% (Jun 2022),0.26% (Sep 2021)
 FDC Ltd.,Pharmaceuticals,1120.6,0.52%,0.89% (Sep 2021),0.52% (Aug 2022)
 Genus Power Infrastructures Ltd.,Industrial electronics,1102.2,0.51%,0.68% (Apr 2022),0.47% (Feb 2022)
 V.I.P. Industries Ltd,Plastic products - consumer,1070.9,0.49%,0.7% (Mar 2022),0.49% (Aug 2022)
 VST Tillers Tractors Ltd.,Tractors,1036.7,0.48%,0.64% (Jan 2022),0.48% (Aug 2022)
 MTAR Technologies Ltd.,Defense,1027.2,0.47%,0.82% (Dec 2021),0.39% (Jul 2022)
 Birlasoft Ltd.,Computers - software,1003.6,0.46%,0.87% (Dec 2021),0.46% (Aug 2022)
 Indoco Remedies Ltd.,Pharmaceuticals,984.1,0.45%,0.74% (Oct 2021),0.45% (Aug 2022)
Praj Industries Ltd.,Engineering, designing,0.45%,0.00%,
 Emudhra Ltd.,Software products,983,0.45%,0.46% (Jul 2022),0% (Sep 2021)
 Bajaj Consumer Care Ltd.,Personal care,953.7,0.44%,0.64% (Sep 2021),0.38% (May 2022)
 Just Dial Ltd.,It enabled services – software,916,0.42%,0.66% (Apr 2022),0% (Sep 2021)
 Astec Lifesciences Ltd.,Pesticides and agrochemicals,904.2,0.42%,0.43% (Jul 2022),0% (Sep 2021)
 Kalpataru Power Transmission Ltd.,Transmission towers,896.8,0.41%,0.63% (Oct 2021),0.4% (Apr 2022)
 ISGEC Heavy Engineering Ltd.,Industrial equipment,871.3,0.40%,0.81% (Sep 2021),0.4% (Aug 2022)
 Care Ratings Ltd.,Ratings,826.9,0.38%,0.41% (May 2022),0% (Sep 2021)
 Supriya Lifescience Ltd.,Pharmaceuticals,821.8,0.38%,0.69% (Dec 2021),0% (Sep 2021)
JTEKT India Ltd.,Auto ancillaries,805.3,0.37%,0.37% (Jul 2022),0.25% (Feb 2022)
 AstraZeneca Pharma India Ltd.,Pharmaceuticals,802.9,0.37%,0.42% (Nov 2021),0.32% (Mar 2022)
 Brigade Enterprises Ltd.,Residential/commercial/sez project,773.3,0.36%,0.43% (Nov 2021),0.35% (Apr 2022)
Stove Kraft Ltd.,Home appliances,770.8,0.36%,0.63% (Sep 2021),0.36% (Jul 2022)
 PNC Infratech Ltd.,Construction civil,754,0.35%,0.44% (Sep 2021),0.27% (Dec 2021)
 Sundaram Finance Holdings Ltd.,Investment companies,753.4,0.35%,0.44% (Oct 2021),0.34% (Mar 2022)
 Gland Pharma Ltd.,Pharmaceuticals,753.2,0.35%,0.35% (Aug 2022),0% (Sep 2021)
 Triveni Engineering & Industries Ltd.,Sugar,748.8,0.35%,0.51% (Mar 2022),0.34% (Sep 2021)
 HDFC Life Insurance Company Ltd.,Insurance,738.4,0.34%,0.54% (Sep 2021),0.34% (Aug 2022)
 Coal India Ltd.,Industrial minerals,704.4,0.33%,0.33% (Aug 2022),0% (Sep 2021)
 India Cements Ltd.,Cement,695.6,0.32%,0.32% (Aug 2022),0% (Sep 2021)
 Intellect Design Arena ltd.,Computers - software,679.5,0.31%,0.6% (Mar 2022),0.31% (Aug 2022)
 Pokarna Ltd.,Sanitary ware,676.3,0.31%,0.51% (Jan 2022),0.28% (Jun 2022)
 INEOS Styrolution India Ltd.,Plastic products,652.2,0.30%,0.47% (Sep 2021),0.25% (Mar 2022)
 J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,635.4,0.29%,0.54% (Sep 2021),0% (Sep 2021)
 L G Balakrishnan & Bros Ltd.,Auto ancillaries,622.9,0.29%,0.4% (Dec 2021),0.26% (Mar 2022)
Tata Coffee Ltd,Tea & coffee,619.3,0.29%,0.42% (Sep 2021),0.28% (Jun 2022)
 Mahindra Logistics Ltd.,Logistics solution provider,601.9,0.28%,0.65% (Sep 2021),0.28% (Aug 2022)
Orient Cement Ltd.,Cement,597.4,0.28%,0.4% (Feb 2022),0.28% (Jul 2022)
 Sandhar Technologies Ltd.,Auto ancillaries,582.8,0.27%,0.42% (Sep 2021),0.27% (Aug 2022)
 Apex Frozen Foods Ltd.,Consumer food,554.4,0.26%,0.28% (Sep 2021),0.23% (May 2022)
 Shriram Properties Pvt Ltd.,Residential/commercial/sez project,520,0.24%,0.29% (Jan 2022),0% (Sep 2021)
Thyrocare Technologies Ltd.,Healthcare service providers,470.6,0.22%,0.22% (Aug 2022),0% (Sep 2021)
 KEC International Ltd.,Engineering, designing,0.21%,,0.21%
 SBI Life Insurance Co Ltd.,Insurance,456.1,0.21%,0.24% (Sep 2021),0.19% (Apr 2022)
 Texmaco Rail & Engineering Ltd.,Engineering, designing,0.20%,0.02%,
 Thermax Ltd.,Industrial equipment,424.9,0.20%,0.22% (Oct 2021),0% (Sep 2021)
 Vesuvius India Ltd.,Refractories,414.7,0.19%,0.19% (Aug 2022),0% (Sep 2021)
Cesc Ltd.,Power,405.4,0.19%,0.19% (Jul 2022),0% (Sep 2021)
 Apollo Tyres Limited,Tyres & allied,396.6,0.18%,0.18% (Aug 2022),0% (Sep 2021)
Kirloskar Ferrous Industries Ltd.,Pig iron,381.1,0.18%,0.18% (Aug 2022),0% (Sep 2021)
 Life Insurance Corporation Of India,Life insurance,380.9,0.18%,0.25% (May 2022),0% (Sep 2021)
Ashoka Buildcon Ltd.,Engineering, designing,0.17%,,
 Rolex Rings Private Ltd.,Auto ancillaries,366,0.17%,0.2% (Jul 2022),0.1% (Dec 2021)
 Paras Defence and Space Technologies Ltd.,Defense,349.2,0.16%,0.26% (Oct 2021),0.06% (Sep 2021)
Venus Pipes and Tubes Ltd.,Iron & steel products,342.1,0.16%,0.16% (Aug 2022),0% (Sep 2021)
 City Union Bank Ltd.,Banks,341.1,0.16%,0.16% (Aug 2022),0% (Sep 2021)
Electrosteel Castings Ltd.,Castings/forgings,337.7,0.16%,0.19% (Jan 2022),0% (Sep 2021)
 Tarsons Products Ltd.,Medical equipment & supplies,336.9,0.16%,0.18% (Jul 2022),0% (Sep 2021)
 Aster DM Healthcare Ltd.,Hospital,332.7,0.15%,0.17% (Jul 2022),0.09% (Dec 2021)
 KEI Industries Ltd.,Cables - electricals,328.8,0.15%,0.15% (Mar 2022),0.12% (Sep 2021)
 Subros Ltd.,Auto ancillaries,327.2,0.15%,0.21% (Oct 2021),0.15% (Aug 2022)
 Avanti Feeds Ltd.,Animal feed,292.3,0.13%,0.18% (Jan 2022),0.05% (Nov 2021)
 Capacite Infraprojects Ltd.,Residential/commercial/sez project,280.4,0.13%,0.16% (Dec 2021),0.09% (Jul 2022)
Castrol (India) Ltd.,Lubricants,273.8,0.13%,0.14% (Jun 2022),0% (Sep 2021)
 Varroc Engineering Pvt Ltd.,Auto ancillaries,271.8,0.13%,0.13% (Aug 2022),0% (Sep 2021)
 Techno Electric & Engineering Co. Ltd.,Engineering, designing,0.11%,-0.01%,
Tatva Chintan Pharma Chem Ltd.,Chemicals - speciality,211.4,0.10%,0.11% (Jun 2022),0% (Sep 2021)
 Orient Paper & Industries Ltd.,Home appliances,209.9,0.10%,0.18% (Sep 2021),0.08% (Jul 2022)
Equitas Small Finance Bank Ltd.,Banks,187.7,0.09%,0.09% (Aug 2022),0% (Sep 2021)
Jubilant Ingrevia Ltd.,Chemicals - speciality,185.1,0.09%,0.09% (Aug 2022),0% (Sep 2021)
AGS Transact Technologies Ltd.,Diversified commercial services,169.2,0.08%,0.17% (Jan 2022),0% (Sep 2021)
Galaxy Surfactants Ltd.,Chemicals - speciality,162.8,0.08%,0.71% (Sep 2021),0.08% (Jul 2022)
 Valiant Organics Ltd.,Chemicals - organic,162.5,0.08%,0.24% (Sep 2021),0.08% (Aug 2022)
Orient Refractories Ltd.,Castings/forgings,64.4,0.03%,0.03% (Jun 2022),0% (Sep 2021)
Mishra Dhatu Nigam Ltd.,Steel,21.3,0.01%,0.01% (Aug 2022),0% (Sep 2021)
